Q;R;Доля суши, %
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;51
20;0;92
21;0;98
22;0;100
23;0;100
-1;1;0
0;1;64
1;1;23
2;1;4
3;1;0
4;1;0
5;1;3
6;1;21
7;1;56
8;1;28
9;1;0
10;1;0
11;1;0
12;1;0
13;1;0
14;1;0
15;1;0
16;1;0
17;1;0
18;1;36
19;1;98
20;1;80
21;1;95
22;1;100
23;1;100
-1;2;99
0;2;99
1;2;85
2;2;16
3;2;0
4;2;8
5;2;91
6;2;85
7;2;27
8;2;39
9;2;0
10;2;0
11;2;1
12;2;38
13;2;0
14;2;0
15;2;9
16;2;0
17;2;0
18;2;41
19;2;89
20;2;97
21;2;98
22;2;95
-2;3;0
-1;3;96
0;3;96
1;3;26
2;3;0
3;3;0
4;3;3
5;3;26
6;3;8
7;3;79
8;3;19
9;3;0
10;3;7
11;3;31
12;3;0
13;3;0
14;3;0
15;3;0
16;3;0
17;3;48
18;3;100
19;3;100
20;3;100
21;3;100
22;3;89
-2;4;100
-1;4;81
0;4;97
1;4;5
2;4;0
3;4;0
4;4;26
5;4;0
6;4;91
7;4;39
8;4;0
9;4;0
10;4;13
11;4;19
12;4;28
13;4;37
14;4;0
15;4;60
16;4;84
17;4;100
18;4;100
19;4;100
20;4;100
21;4;100
-3;5;0
-2;5;84
-1;5;90
0;5;61
1;5;0
2;5;0
3;5;0
4;5;0
5;5;68
6;5;63
7;5;0
8;5;0
9;5;2
10;5;0
11;5;28
12;5;99
13;5;65
14;5;91
15;5;100
16;5;89
17;5;64
18;5;76
19;5;100
20;5;100
21;5;98
-3;6;1
-2;6;55
-1;6;32
0;6;0
1;6;26
2;6;0
3;6;0
4;6;4
5;6;63
6;6;22
7;6;0
8;6;58
9;6;86
10;6;66
11;6;86
12;6;100
13;6;89
14;6;99
15;6;54
16;6;56
17;6;68
18;6;89
19;6;28
20;6;25
-4;7;0
-3;7;11
-2;7;8
-1;7;0
0;7;0
1;7;0
2;7;0
3;7;0
4;7;0
5;7;12
6;7;1
7;7;45
8;7;99
9;7;100
10;7;100
11;7;100
12;7;91
13;7;100
14;7;61
15;7;60
16;7;91
17;7;91
18;7;0
19;7;0
20;7;0
-4;8;98
-3;8;80
-2;8;87
-1;8;51
0;8;9
1;8;0
2;8;0
3;8;0
4;8;0
5;8;0
6;8;3
7;8;90
8;8;100
9;8;95
10;8;93
11;8;93
12;8;94
13;8;91
14;8;98
15;8;99
16;8;100
17;8;30
18;8;0
19;8;0
-5;9;0
-4;9;94
-3;9;89
-2;9;99
-1;9;68
0;9;0
1;9;27
2;9;0
3;9;0
4;9;27
5;9;0
6;9;70
7;9;97
8;9;96
9;9;91
10;9;99
11;9;85
12;9;100
13;9;100
14;9;99
15;9;100
16;9;58
17;9;0
18;9;0
19;9;0
-5;10;13
-4;10;49
-3;10;48
-2;10;26
-1;10;0
0;10;0
1;10;0
2;10;0
3;10;0
4;10;0
5;10;42
6;10;92
7;10;98
8;10;95
9;10;92
10;10;95
11;10;88
12;10;100
13;10;100
14;10;100
15;10;99
16;10;7
17;10;0
18;10;0
-6;11;0
-5;11;0
-4;11;0
-3;11;0
-2;11;0
-1;11;0
0;11;0
1;11;0
2;11;12
3;11;0
4;11;8
5;11;93
6;11;100
7;11;100
8;11;91
9;11;97
10;11;91
11;11;82
12;11;86
13;11;100
14;11;100
15;11;75
16;11;0
17;11;0
18;11;0
-6;12;0
-5;12;5
-4;12;0
-3;12;30
-2;12;0
-1;12;0
0;12;0
1;12;21
2;12;0
3;12;0
4;12;32
5;12;82
6;12;85
7;12;85
8;12;91
9;12;89
10;12;97
11;12;100
12;12;88
13;12;90
14;12;78
15;12;0
16;12;21
17;12;0
-7;13;0
-6;13;70
-5;13;34
-4;13;20
-3;13;6
-2;13;0
-1;13;0
0;13;0
1;13;25
2;13;0
3;13;0
4;13;0
5;13;83
6;13;87
7;13;69
8;13;100
9;13;92
10;13;95
11;13;100
12;13;95
13;13;90
14;13;41
15;13;0
16;13;0
17;13;0
-7;14;99
-6;14;98
-5;14;91
-4;14;98
-3;14;14
-2;14;0
-1;14;0
0;14;0
1;14;0
2;14;0
3;14;0
4;14;14
5;14;99
6;14;99
7;14;100
8;14;100
9;14;84
10;14;97
11;14;96
12;14;51
13;14;41
14;14;3
15;14;0
16;14;0
-8;15;0
-7;15;99
-6;15;95
-5;15;97
-4;15;42
-3;15;0
-2;15;0
-1;15;0
0;15;0
1;15;0
2;15;0
3;15;0
4;15;68
5;15;100
6;15;73
7;15;70
8;15;77
9;15;80
10;15;71
11;15;12
12;15;0
13;15;0
14;15;25
15;15;6
16;15;0
-8;16;99
-7;16;94
-6;16;95
-5;16;85
-4;16;53
-3;16;4
-2;16;25
-1;16;0
0;16;0
1;16;0
2;16;0
3;16;12
4;16;94
5;16;70
6;16;52
7;16;3
8;16;35
9;16;2
10;16;12
11;16;3
12;16;0
13;16;41
14;16;38
15;16;0
-9;17;0
-8;17;97
-7;17;100
-6;17;100
-5;17;100
-4;17;99
-3;17;17
-2;17;0
-1;17;0
0;17;0
1;17;0
2;17;0
3;17;21
4;17;58
5;17;100
6;17;68
7;17;78
8;17;32
9;17;13
10;17;9
11;17;0
12;17;0
13;17;11
14;17;0
15;17;0
-9;18;97
-8;18;99
-7;18;98
-6;18;100
-5;18;99
-4;18;96
-3;18;6
-2;18;0
-1;18;0
0;18;0
1;18;0
2;18;0
3;18;0
4;18;45
5;18;100
6;18;95
7;18;98
8;18;7
9;18;2
10;18;0
11;18;0
12;18;0
13;18;0
14;18;0
